"UID","Genotype","Pheno_date","Year","Location","Dry_matter_plant","Fresh_weight_plant","Moisture_content"
70895,"Mx-1933_11","24-Mar-14",2014,"JKI 15 AM-R34 C16",0.840404,1.04,19.1919
70896,"Mx-1956_15","24-Mar-14",2014,"JKI 15 AM-R33 C16",0.559351,0.73,23.3766
70897,"Mx-2446_1","24-Mar-14",2014,"JKI 15 AM-R32 C16",0.4698,0.54,13
70898,"Mx-2470_5","24-Mar-14",2014,"JKI 15 AM-R31 C16",0.470137,0.52,9.58904
70349,"Mb-2","23-Apr-15",2015,"JKI 15 AM-R3 C1",1.69189,2.06,17.8696
70352,"Mb-9","22-Apr-15",2015,"JKI 15 AM-R6 C1",1.41131,1.56,9.53125
70353,"Mb-14","22-Apr-15",2015,"JKI 15 AM-R7 C1",3.40167,3.9,12.7778
70355,"Mb-31","22-Apr-15",2015,"JKI 15 AM-R9 C1",1.55435,1.76,11.6848
70356,"Mb-35","22-Apr-15",2015,"JKI 15 AM-R10 C1",1.55945,1.86,16.1585
70357,"Mb-37","24-Apr-15",2015,"JKI 15 AM-R11 C1",3.12174,4.54,31.2393
70359,"Mb-70","24-Apr-15",2015,"JKI 15 AM-R13 C1",2.66801,3.86,30.8805
70360,"Mb-72","24-Apr-15",2015,"JKI 15 AM-R14 C1",2.9302,3.64,19.5
70361,"Mb-74","24-Apr-15",2015,"JKI 15 AM-R15 C1",1.62814,2.32,29.8214
70362,"Mb-76","24-Apr-15",2015,"JKI 15 AM-R16 C1",1.42696,1.64,12.9902
70366,"Mb-86","23-Apr-15",2015,"JKI 15 AM-R17 C2",2.58955,3.14,17.5301
70367,"Mb-94","23-Apr-15",2015,"JKI 15 AM-R16 C2",1.10044,1.18,6.74242
70368,"Mb-102","22-Apr-15",2015,"JKI 15 AM-R15 C2",2.37046,2.82,15.9412
70369,"Mb-104","24-Apr-15",2015,"JKI 15 AM-R14 C2",3.90597,4.7,16.8943
70370,"Mb-99","23-Apr-15",2015,"JKI 15 AM-R13 C2",3.53022,4.12,14.3151
70371,"Mb-109","24-Apr-15",2015,"JKI 15 AM-R12 C2",0.489393,0.64,23.5323
70372,"Mb-110","22-Apr-15",2015,"JKI 15 AM-R11 C2",3.73554,5.36,30.3072
70373,"Mb-111","24-Apr-15",2015,"JKI 15 AM-R10 C2",1.80916,2.02,10.4375
70374,"Mb-113","22-Apr-15",2015,"JKI 15 AM-R9 C2",1.8554,2.08,10.7979
