"Environment","trait","n_genotypes","r_bar","sigma2_G","sigma2_e","H2","converged"
"Aber-2015","DM",125,2.416,0.363752362296417,0.247897376702494,0.779983759789417,TRUE
"Aber-2015","FW",125,2.44,1.1116423157832,0.552872610432289,0.8306814012957,TRUE
"Aber-2015","MC",125,2.416,74.8076121978365,55.690829438617,0.764447122534072,TRUE
"Aber-2016","DM",121,2.26446280991736,0.698488905989482,0.666199177553464,0.703635044312485,TRUE
"Aber-2016","FW",121,2.26446280991736,1.88017450300945,1.40515521290617,0.751859506005297,TRUE
"Aber-2016","MC",121,2.26446280991736,46.4442123633776,27.9757977853999,0.789887868230075,TRUE
"Brau-2014","DM",124,2.11290322580645,0.0226245667462876,0.0126588117201989,0.790633087621058,TRUE
"Brau-2014","FW",124,2.11290322580645,0.036714669972398,0.0196929029634791,0.797538606667351,TRUE
"Brau-2014","MC",124,2.08870967741935,14.9390038919456,29.3012671236056,0.515717629182128,TRUE
"Brau-2015","DM",124,2.16935483870968,0.588659924991122,0.325960563584686,0.79665247003987,TRUE
"Brau-2015","FW",124,2.20967741935484,1.12865137695515,0.487671132688046,0.836441245339077,TRUE
"Brau-2015","MC",124,2.16935483870968,40.575320343365,7.34945190430331,0.922938875918999,TRUE
"Brau-2016","DM",70,1.94285714285714,0.902751406000367,0.521038233752706,0.77096769991626,TRUE
"Brau-2016","FW",70,2.02857142857143,2.4932959432938,1.40181148914166,0.782989237518553,TRUE
"Brau-2016","MC",78,2.03846153846154,67.3719187204871,32.5000191854483,0.808637777493179,TRUE
