"trait","model","sigma2_E","sigma2_L","sigma2_G","sigma2_GxE","sigma2_e","total_variance","pct_E","pct_e"
"DM","M1",0.881560880700574,0.26238000117196,NA,NA,0.451032328946027,1.59497321081856,55.2669315610623,28.2811718087132
"DM","M2",0.817767161793344,0.156825886422358,0.169308455348698,NA,0.44815019912459,1.59205170268899,51.3401535973966,28.1629185735302
"DM","M3",0.778931255255114,0.150299651170491,0.161049546091494,0.335942949000972,0.227498423991247,1.65372182550932,47.0774879985729,13.7661508353381
"FW","M1",1.74185860948095,0.594750341569806,NA,NA,1.12945398810445,3.46606293915521,50.2379488768425,32.5981821497381
"FW","M2",1.54747670326538,0.325991655345396,0.426622944728497,NA,1.11862350839004,3.41871481172931,45.2351318528383,32.7425901927041
"FW","M3",1.51099620693482,0.306582428084435,0.400978825138311,0.989676139205824,0.458377353579238,3.66661095294262,41.1705082670297,12.5108071157998
"MC","M1",49.0925665961605,29.9724058858912,NA,NA,36.0502850773543,115.115257559406,42.6288156968425,31.3256908334459
"MC","M2",42.3552333336654,15.4164515673322,22.7726745605452,NA,35.9112732702531,116.455632731796,36.3619193509577,30.8414106200599
"MC","M3",39.5965120804584,14.0117639148599,23.0868180837319,27.4815501265505,19.1107616797588,123.28740588536,32.103759110625,15.5071793458185
