"Genotype","Environment","Year","Rep","Block","Row","Col","trait","value","PopGroup"
"Mx-2446_1","Aber-2015","2015",NA,"1","6","1","DM",2.70638,"M. x gig"
"Mx-2446_1","Aber-2015","2015",NA,"1","6","1","FW",5.44,"M. x gig"
"Mx-2446_1","Aber-2015","2015",NA,"1","6","1","MC",50.2504,"M. x gig"
"Mx-2446_1","Aber-2016","2016",NA,"1","6","1","DM",2.972,"M. x gig"
"Mx-2446_1","Aber-2016","2016",NA,"1","6","1","FW",5.578,"M. x gig"
"Mx-2446_1","Aber-2016","2016",NA,"1","6","1","MC",46.7,"M. x gig"
"Mb-427_1","Aber-2015","2015",NA,"1","8","1","DM",0.232934,"M. sacchariflorus"
"Mb-427_1","Aber-2015","2015",NA,"1","8","1","FW",0.3,"M. sacchariflorus"
"Mb-427_1","Aber-2015","2015",NA,"1","8","1","MC",22.3553,"M. sacchariflorus"
"Mx-2470_5","Aber-2015","2015",NA,"1","13","1","DM",1.41238,"M. sacchariflorus"
"Mx-2470_5","Aber-2015","2015",NA,"1","13","1","FW",1.74,"M. sacchariflorus"
"Mx-2470_5","Aber-2015","2015",NA,"1","13","1","MC",18.8285,"M. sacchariflorus"
"Mx-2470_5","Aber-2016","2016",NA,"1","13","1","DM",3.279,"M. sacchariflorus"
"Mx-2470_5","Aber-2016","2016",NA,"1","13","1","FW",4.262,"M. sacchariflorus"
"Mx-2470_5","Aber-2016","2016",NA,"1","13","1","MC",23.1,"M. sacchariflorus"
"Mb-425_1","Aber-2015","2015",NA,"1","21","1","DM",0.387348,"M. sacchariflorus"
"Mb-425_1","Aber-2015","2015",NA,"1","21","1","FW",0.48,"M. sacchariflorus"
"Mb-425_1","Aber-2015","2015",NA,"1","21","1","MC",19.3025,"M. sacchariflorus"
"Mb-425_1","Aber-2016","2016",NA,"1","21","1","DM",1.433,"M. sacchariflorus"
"Mb-425_1","Aber-2016","2016",NA,"1","21","1","FW",2.086,"M. sacchariflorus"
"Mb-425_1","Aber-2016","2016",NA,"1","21","1","MC",31.3,"M. sacchariflorus"
"Mb-431_1","Aber-2015","2015",NA,"1","24","1","DM",0.133043,"M. sacchariflorus"
"Mb-431_1","Aber-2015","2015",NA,"1","24","1","FW",0.18,"M. sacchariflorus"
"Mb-431_1","Aber-2015","2015",NA,"1","24","1","MC",26.087,"M. sacchariflorus"
"Mb-431_1","Aber-2016","2016",NA,"1","24","1","DM",0.358,"M. sacchariflorus"
"Mb-431_1","Aber-2016","2016",NA,"1","24","1","FW",0.479,"M. sacchariflorus"
"Mb-431_1","Aber-2016","2016",NA,"1","24","1","MC",25.2,"M. sacchariflorus"
"Mb-411","Aber-2015","2015",NA,"1","27","1","DM",0.723586,"M. sacchariflorus"
"Mb-411","Aber-2015","2015",NA,"1","27","1","FW",0.88,"M. sacchariflorus"
"Mb-411","Aber-2015","2015",NA,"1","27","1","MC",17.7743,"M. sacchariflorus"
"Mb-411","Aber-2016","2016",NA,"1","27","1","DM",1.67,"M. sacchariflorus"
"Mb-411","Aber-2016","2016",NA,"1","27","1","FW",2.348,"M. sacchariflorus"
"Mb-411","Aber-2016","2016",NA,"1","27","1","MC",28.9,"M. sacchariflorus"
"Mb-494_1","Aber-2015","2015",NA,"1","32","2","DM",0.379949,"M. sacchariflorus"
"Mb-494_1","Aber-2015","2015",NA,"1","32","2","FW",0.52,"M. sacchariflorus"
"Mb-494_1","Aber-2015","2015",NA,"1","32","2","MC",26.9329,"M. sacchariflorus"
"Mb-494_1","Aber-2016","2016",NA,"1","32","2","DM",0.837,"M. sacchariflorus"
"Mb-494_1","Aber-2016","2016",NA,"1","32","2","FW",1.072,"M. sacchariflorus"
"Mb-494_1","Aber-2016","2016",NA,"1","32","2","MC",21.9,"M. sacchariflorus"
"Mb-177","Aber-2015","2015",NA,"1","31","2","DM",0.440816,"M. sacchariflorus"
"Mb-177","Aber-2015","2015",NA,"1","31","2","FW",0.54,"M. sacchariflorus"
"Mb-177","Aber-2015","2015",NA,"1","31","2","MC",18.3673,"M. sacchariflorus"
"Mb-177","Aber-2016","2016",NA,"1","31","2","DM",2.092,"M. sacchariflorus"
"Mb-177","Aber-2016","2016",NA,"1","31","2","FW",2.651,"M. sacchariflorus"
"Mb-177","Aber-2016","2016",NA,"1","31","2","MC",21.1,"M. sacchariflorus"
"Mb-397","Aber-2015","2015",NA,"1","18","2","DM",0.363828,"M. sacchariflorus"
"Mb-397","Aber-2015","2015",NA,"1","18","2","FW",0.52,"M. sacchariflorus"
"Mb-397","Aber-2015","2015",NA,"1","18","2","MC",30.033,"M. sacchariflorus"
"Mb-397","Aber-2016","2016",NA,"1","18","2","DM",1.233,"M. sacchariflorus"
"Mb-397","Aber-2016","2016",NA,"1","18","2","FW",1.565,"M. sacchariflorus"
"Mb-397","Aber-2016","2016",NA,"1","18","2","MC",21.2,"M. sacchariflorus"
"Mb-486","Aber-2015","2015",NA,"1","3","3","DM",0.378913,"M. sacchariflorus"
"Mb-486","Aber-2015","2015",NA,"1","3","3","FW",0.46,"M. sacchariflorus"
"Mb-486","Aber-2015","2015",NA,"1","3","3","MC",17.6277,"M. sacchariflorus"
"Mb-72","Aber-2015","2015",NA,"1","4","3","DM",1.06645,"M. x gig"
"Mb-72","Aber-2015","2015",NA,"1","4","3","FW",2.06,"M. x gig"
"Mb-72","Aber-2015","2015",NA,"1","4","3","MC",48.2305,"M. x gig"
"Mb-72","Aber-2016","2016",NA,"1","4","3","DM",1.163,"M. x gig"
"Mb-72","Aber-2016","2016",NA,"1","4","3","FW",2.017,"M. x gig"
"Mb-72","Aber-2016","2016",NA,"1","4","3","MC",42.3,"M. x gig"
"Mb-965_15","Aber-2015","2015",NA,"1","7","3","DM",0.315672,"M. sacchariflorus"
"Mb-965_15","Aber-2015","2015",NA,"1","7","3","FW",0.44,"M. sacchariflorus"
"Mb-965_15","Aber-2015","2015",NA,"1","7","3","MC",28.2563,"M. sacchariflorus"
"Mx-1933_11","Aber-2015","2015",NA,"1","12","3","DM",2.03223,"M. x gig"
"Mx-1933_11","Aber-2015","2015",NA,"1","12","3","FW",2.72,"M. x gig"
"Mx-1933_11","Aber-2015","2015",NA,"1","12","3","MC",25.2858,"M. x gig"
"Mx-1933_11","Aber-2016","2016",NA,"1","12","3","DM",2.843,"M. x gig"
"Mx-1933_11","Aber-2016","2016",NA,"1","12","3","FW",3.986,"M. x gig"
"Mx-1933_11","Aber-2016","2016",NA,"1","12","3","MC",28.7,"M. x gig"
"Mb-485_1","Aber-2015","2015",NA,"1","15","3","DM",0.482963,"M. sacchariflorus"
"Mb-485_1","Aber-2015","2015",NA,"1","15","3","FW",0.72,"M. sacchariflorus"
"Mb-485_1","Aber-2015","2015",NA,"1","15","3","MC",32.9218,"M. sacchariflorus"
"Mb-485_1","Aber-2016","2016",NA,"1","15","3","DM",2.194,"M. sacchariflorus"
"Mb-485_1","Aber-2016","2016",NA,"1","15","3","FW",2.888,"M. sacchariflorus"
"Mb-485_1","Aber-2016","2016",NA,"1","15","3","MC",24,"M. sacchariflorus"
"Mb-383_1","Aber-2015","2015",NA,"1","33","3","DM",0.422886,"M. sacchariflorus"
"Mb-383_1","Aber-2015","2015",NA,"1","33","3","FW",0.62,"M. sacchariflorus"
"Mb-383_1","Aber-2015","2015",NA,"1","33","3","MC",31.7926,"M. sacchariflorus"
"Mb-383_1","Aber-2016","2016",NA,"1","33","3","DM",1.44,"M. sacchariflorus"
"Mb-383_1","Aber-2016","2016",NA,"1","33","3","FW",1.939,"M. sacchariflorus"
"Mb-383_1","Aber-2016","2016",NA,"1","33","3","MC",25.8,"M. sacchariflorus"
"Mx-1956_15","Aber-2015","2015",NA,"1","39","3","DM",1.31264,"M. x gig"
"Mx-1956_15","Aber-2015","2015",NA,"1","39","3","FW",1.66,"M. x gig"
"Mx-1956_15","Aber-2015","2015",NA,"1","39","3","MC",20.9254,"M. x gig"
"Mx-1956_15","Aber-2016","2016",NA,"1","39","3","DM",2.723,"M. x gig"
"Mx-1956_15","Aber-2016","2016",NA,"1","39","3","FW",3.339,"M. x gig"
"Mx-1956_15","Aber-2016","2016",NA,"1","39","3","MC",18.5,"M. x gig"
"Mb-969_18","Aber-2015","2015",NA,"1","32","4","DM",0.766272,"M. sacchariflorus"
"Mb-969_18","Aber-2015","2015",NA,"1","32","4","FW",1.08,"M. sacchariflorus"
"Mb-969_18","Aber-2015","2015",NA,"1","32","4","MC",29.0488,"M. sacchariflorus"
"Mb-1147_12","Aber-2015","2015",NA,"1","21","4","DM",1.72133,"M. sinensis"
"Mb-1147_12","Aber-2015","2015",NA,"1","21","4","FW",2.3,"M. sinensis"
"Mb-1147_12","Aber-2015","2015",NA,"1","21","4","MC",25.1596,"M. sinensis"
"Mb-1147_12","Aber-2016","2016",NA,"1","21","4","DM",2.609,"M. sinensis"
"Mb-1147_12","Aber-2016","2016",NA,"1","21","4","FW",3.247,"M. sinensis"
"Mb-1147_12","Aber-2016","2016",NA,"1","21","4","MC",19.7,"M. sinensis"
"Mb-488_15","Aber-2015","2015",NA,"1","13","4","DM",0.921196,"M. sacchariflorus"
"Mb-488_15","Aber-2015","2015",NA,"1","13","4","FW",1.12,"M. sacchariflorus"
"Mb-488_15","Aber-2015","2015",NA,"1","13","4","MC",17.7503,"M. sacchariflorus"
"Mb-488_15","Aber-2016","2016",NA,"1","13","4","DM",2.534,"M. sacchariflorus"
"Mb-488_15","Aber-2016","2016",NA,"1","13","4","FW",3.445,"M. sacchariflorus"
"Mb-488_15","Aber-2016","2016",NA,"1","13","4","MC",26.5,"M. sacchariflorus"
"Mb-434_1","Aber-2015","2015",NA,"1","4","4","DM",0.980659,"M. sinensis"
"Mb-434_1","Aber-2015","2015",NA,"1","4","4","FW",1.46,"M. sinensis"
"Mb-434_1","Aber-2015","2015",NA,"1","4","4","MC",32.8316,"M. sinensis"
"Mb-434_1","Aber-2016","2016",NA,"1","4","4","DM",2.175,"M. sinensis"
"Mb-434_1","Aber-2016","2016",NA,"1","4","4","FW",2.846,"M. sinensis"
"Mb-434_1","Aber-2016","2016",NA,"1","4","4","MC",23.6,"M. sinensis"
"Mb-399","Aber-2015","2015",NA,"1","3","4","DM",0.107466,"M. sacchariflorus"
"Mb-399","Aber-2015","2015",NA,"1","3","4","FW",0.14,"M. sacchariflorus"
"Mb-399","Aber-2015","2015",NA,"1","3","4","MC",23.2383,"M. sacchariflorus"
"Mb-149","Aber-2015","2015",NA,"1","1","5","DM",3.00058,"M. x gig"
"Mb-149","Aber-2015","2015",NA,"1","1","5","FW",3.62,"M. x gig"
"Mb-149","Aber-2015","2015",NA,"1","1","5","MC",17.111,"M. x gig"
"Mb-149","Aber-2016","2016",NA,"1","1","5","DM",4.354,"M. x gig"
"Mb-149","Aber-2016","2016",NA,"1","1","5","FW",5.94,"M. x gig"
"Mb-149","Aber-2016","2016",NA,"1","1","5","MC",26.7,"M. x gig"
"Mb-1086_54","Aber-2015","2015",NA,"1","7","5","DM",3.07996,"M. x gig"
"Mb-1086_54","Aber-2015","2015",NA,"1","7","5","FW",4.76,"M. x gig"
"Mb-1086_54","Aber-2015","2015",NA,"1","7","5","MC",35.2949,"M. x gig"
"Mb-1086_54","Aber-2016","2016",NA,"1","7","5","DM",4.52,"M. x gig"
"Mb-1086_54","Aber-2016","2016",NA,"1","7","5","FW",7.475,"M. x gig"
"Mb-1086_54","Aber-2016","2016",NA,"1","7","5","MC",39.5,"M. x gig"
"Mb-307","Aber-2015","2015",NA,"1","20","5","DM",4.3831,"M. x gig"
"Mb-307","Aber-2015","2015",NA,"1","20","5","FW",5.78,"M. x gig"
"Mb-307","Aber-2015","2015",NA,"1","20","5","MC",24.1679,"M. x gig"
"Mb-307","Aber-2016","2016",NA,"1","20","5","DM",5.716,"M. x gig"
"Mb-307","Aber-2016","2016",NA,"1","20","5","FW",8.6,"M. x gig"
"Mb-307","Aber-2016","2016",NA,"1","20","5","MC",33.5,"M. x gig"
"Mb-144","Aber-2015","2015",NA,"1","26","5","DM",0.557707,"M. sacchariflorus"
"Mb-144","Aber-2015","2015",NA,"1","26","5","FW",0.7,"M. sacchariflorus"
"Mb-144","Aber-2015","2015",NA,"1","26","5","MC",20.3276,"M. sacchariflorus"
"Mb-144","Aber-2016","2016",NA,"1","26","5","DM",2.087,"M. sacchariflorus"
"Mb-144","Aber-2016","2016",NA,"1","26","5","FW",2.914,"M. sacchariflorus"
"Mb-144","Aber-2016","2016",NA,"1","26","5","MC",28.4,"M. sacchariflorus"
"Mb-490_10","Aber-2015","2015",NA,"1","33","5","DM",0.117994,"M. sacchariflorus"
"Mb-490_10","Aber-2015","2015",NA,"1","33","5","FW",0.18,"M. sacchariflorus"
"Mb-490_10","Aber-2015","2015",NA,"1","33","5","MC",34.4478,"M. sacchariflorus"
"Mb-490_10","Aber-2016","2016",NA,"1","33","5","DM",0.696,"M. sacchariflorus"
"Mb-490_10","Aber-2016","2016",NA,"1","33","5","FW",0.959,"M. sacchariflorus"
"Mb-490_10","Aber-2016","2016",NA,"1","33","5","MC",27.4,"M. sacchariflorus"
"Mb-931_12","Aber-2015","2015",NA,"1","25","6","DM",1.67675,"M. sinensis"
"Mb-931_12","Aber-2015","2015",NA,"1","25","6","FW",3.06,"M. sinensis"
"Mb-931_12","Aber-2015","2015",NA,"1","25","6","MC",45.2041,"M. sinensis"
"Mb-931_12","Aber-2016","2016",NA,"1","25","6","DM",3.825,"M. sinensis"
"Mb-931_12","Aber-2016","2016",NA,"1","25","6","FW",5.55,"M. sinensis"
"Mb-931_12","Aber-2016","2016",NA,"1","25","6","MC",31.1,"M. sinensis"
"Mb-910_11","Aber-2015","2015",NA,"1","17","6","DM",2.76457,"M. sinensis"
"Mb-910_11","Aber-2015","2015",NA,"1","17","6","FW",4.88,"M. sinensis"
"Mb-910_11","Aber-2015","2015",NA,"1","17","6","MC",43.3489,"M. sinensis"
"Mb-910_11","Aber-2016","2016",NA,"1","17","6","DM",3.523,"M. sinensis"
"Mb-910_11","Aber-2016","2016",NA,"1","17","6","FW",6.312,"M. sinensis"
"Mb-910_11","Aber-2016","2016",NA,"1","17","6","MC",44.2,"M. sinensis"
"Mb-142","Aber-2015","2015",NA,"1","26","7","DM",0.344516,"M. sacchariflorus"
"Mb-142","Aber-2015","2015",NA,"1","26","7","FW",0.48,"M. sacchariflorus"
"Mb-142","Aber-2015","2015",NA,"1","26","7","MC",28.2258,"M. sacchariflorus"
"Mb-142","Aber-2016","2016",NA,"1","26","7","DM",1.378,"M. sacchariflorus"
"Mb-142","Aber-2016","2016",NA,"1","26","7","FW",1.727,"M. sacchariflorus"
"Mb-142","Aber-2016","2016",NA,"1","26","7","MC",20.2,"M. sacchariflorus"
"Mx-1932_13","Aber-2015","2015",NA,"1","35","7","DM",1.04514,"M. x gig"
"Mx-1932_13","Aber-2015","2015",NA,"1","35","7","FW",1.7,"M. x gig"
"Mx-1932_13","Aber-2015","2015",NA,"1","35","7","MC",38.521,"M. x gig"
"Mx-1932_13","Aber-2016","2016",NA,"1","35","7","DM",2.028,"M. x gig"
"Mx-1932_13","Aber-2016","2016",NA,"1","35","7","FW",2.869,"M. x gig"
"Mx-1932_13","Aber-2016","2016",NA,"1","35","7","MC",29.3,"M. x gig"
"Mb-960_20","Aber-2015","2015",NA,"1","25","8","DM",1.08253,"M. sinensis"
"Mb-960_20","Aber-2015","2015",NA,"1","25","8","FW",2.36,"M. sinensis"
"Mb-960_20","Aber-2015","2015",NA,"1","25","8","MC",54.1302,"M. sinensis"
"Mb-960_20","Aber-2016","2016",NA,"1","25","8","DM",1.627,"M. sinensis"
"Mb-960_20","Aber-2016","2016",NA,"1","25","8","FW",3.093,"M. sinensis"
"Mb-960_20","Aber-2016","2016",NA,"1","25","8","MC",47.4,"M. sinensis"
"Mb-913_17","Aber-2015","2015",NA,"1","11","8","DM",0.777325,"M. sacchariflorus"
"Mb-913_17","Aber-2015","2015",NA,"1","11","8","FW",1.14,"M. sacchariflorus"
"Mb-913_17","Aber-2015","2015",NA,"1","11","8","MC",31.8136,"M. sacchariflorus"
"Mb-913_17","Aber-2016","2016",NA,"1","11","8","DM",2.739,"M. sacchariflorus"
"Mb-913_17","Aber-2016","2016",NA,"1","11","8","FW",3.548,"M. sacchariflorus"
"Mb-913_17","Aber-2016","2016",NA,"1","11","8","MC",22.8,"M. sacchariflorus"
"Mb-167","Aber-2015","2015",NA,"1","4","9","DM",1.26087,"M. sinensis"
"Mb-167","Aber-2015","2015",NA,"1","4","9","FW",3,"M. sinensis"
"Mb-167","Aber-2015","2015",NA,"1","4","9","MC",57.971,"M. sinensis"
"Mb-167","Aber-2016","2016",NA,"1","4","9","DM",1.994,"M. sinensis"
"Mb-167","Aber-2016","2016",NA,"1","4","9","FW",4.047,"M. sinensis"
"Mb-167","Aber-2016","2016",NA,"1","4","9","MC",50.7,"M. sinensis"
"Mb-113","Aber-2015","2015",NA,"1","10","9","DM",1.63563,"M. sinensis"
"Mb-113","Aber-2015","2015",NA,"1","10","9","FW",2.6,"M. sinensis"
"Mb-113","Aber-2015","2015",NA,"1","10","9","MC",37.0912,"M. sinensis"
"Mb-113","Aber-2016","2016",NA,"1","10","9","DM",2.389,"M. sinensis"
"Mb-113","Aber-2016","2016",NA,"1","10","9","FW",3.62,"M. sinensis"
"Mb-113","Aber-2016","2016",NA,"1","10","9","MC",34,"M. sinensis"
"Mb-221","Aber-2015","2015",NA,"1","38","9","DM",0.0606358,"M. sinensis"
"Mb-221","Aber-2015","2015",NA,"1","38","9","FW",0.14,"M. sinensis"
"Mb-221","Aber-2015","2015",NA,"1","38","9","MC",56.6887,"M. sinensis"
"Mb-956_19","Aber-2015","2015",NA,"1","39","9","DM",0.438136,"M. sacchariflorus"
"Mb-956_19","Aber-2015","2015",NA,"1","39","9","FW",0.7,"M. sacchariflorus"
"Mb-956_19","Aber-2015","2015",NA,"1","39","9","MC",37.4092,"M. sacchariflorus"
"Mb-956_19","Aber-2016","2016",NA,"1","39","9","DM",2.503,"M. sacchariflorus"
"Mb-956_19","Aber-2016","2016",NA,"1","39","9","FW",3.43,"M. sacchariflorus"
"Mb-956_19","Aber-2016","2016",NA,"1","39","9","MC",27,"M. sacchariflorus"
"Mb-1132_52","Aber-2015","2015",NA,"1","39","10","DM",1.07352,"M. x gig"
"Mb-1132_52","Aber-2015","2015",NA,"1","39","10","FW",1.76,"M. x gig"
"Mb-1132_52","Aber-2015","2015",NA,"1","39","10","MC",39.0044,"M. x gig"
"Mb-1132_52","Aber-2016","2016",NA,"1","39","10","DM",1.183,"M. x gig"
"Mb-1132_52","Aber-2016","2016",NA,"1","39","10","FW",1.612,"M. x gig"
"Mb-1132_52","Aber-2016","2016",NA,"1","39","10","MC",26.6,"M. x gig"
"Mb-94","Aber-2015","2015",NA,"1","20","10","DM",0.10559,"M. sacchariflorus"
"Mb-94","Aber-2015","2015",NA,"1","20","10","FW",0.2,"M. sacchariflorus"
"Mb-94","Aber-2015","2015",NA,"1","20","10","MC",47.205,"M. sacchariflorus"
"Mb-94","Aber-2016","2016",NA,"1","20","10","DM",0.0332,"M. sacchariflorus"
"Mb-94","Aber-2016","2016",NA,"1","20","10","FW",0.04767,"M. sacchariflorus"
"Mb-94","Aber-2016","2016",NA,"1","20","10","MC",30.4,"M. sacchariflorus"
"Mb-272","Aber-2015","2015",NA,"1","3","10","DM",0.34955,"M. sacchariflorus"
"Mb-272","Aber-2015","2015",NA,"1","3","10","FW",0.5,"M. sacchariflorus"
"Mb-272","Aber-2015","2015",NA,"1","3","10","MC",30.0901,"M. sacchariflorus"
"Mb-86","Aber-2015","2015",NA,"1","5","11","DM",1.94165,"M. sinensis"
"Mb-86","Aber-2015","2015",NA,"1","5","11","FW",4,"M. sinensis"
"Mb-86","Aber-2015","2015",NA,"1","5","11","MC",51.4586,"M. sinensis"
"Mb-86","Aber-2016","2016",NA,"1","5","11","DM",2.229,"M. sinensis"
"Mb-86","Aber-2016","2016",NA,"1","5","11","FW",3.643,"M. sinensis"
"Mb-86","Aber-2016","2016",NA,"1","5","11","MC",38.8,"M. sinensis"
"Mx-1915_12","Aber-2015","2015",NA,"1","21","11","DM",1.4445,"M. x gig"
"Mx-1915_12","Aber-2015","2015",NA,"1","21","11","FW",2.26,"M. x gig"
"Mx-1915_12","Aber-2015","2015",NA,"1","21","11","MC",36.0842,"M. x gig"
"Mx-1915_12","Aber-2016","2016",NA,"1","21","11","DM",1.74,"M. x gig"
"Mx-1915_12","Aber-2016","2016",NA,"1","21","11","FW",2.331,"M. x gig"
"Mx-1915_12","Aber-2016","2016",NA,"1","21","11","MC",25.4,"M. x gig"
"Mb-306","Aber-2015","2015",NA,"1","24","12","DM",1.98666,"M. sinensis"
"Mb-306","Aber-2015","2015",NA,"1","24","12","FW",3.04,"M. sinensis"
"Mb-306","Aber-2015","2015",NA,"1","24","12","MC",34.6495,"M. sinensis"
"Mb-306","Aber-2016","2016",NA,"1","24","12","DM",2.254,"M. sinensis"
"Mb-306","Aber-2016","2016",NA,"1","24","12","FW",3.069,"M. sinensis"
"Mb-306","Aber-2016","2016",NA,"1","24","12","MC",26.6,"M. sinensis"
"Mb-1155_33","Aber-2015","2015",NA,"1","19","12","DM",0.0106,"M. sacchariflorus"
"Mb-1155_33","Aber-2015","2015",NA,"1","19","12","FW",0.01963,"M. sacchariflorus"
"Mb-1155_33","Aber-2015","2015",NA,"1","19","12","MC",46.001,"M. sacchariflorus"
"Mb-1155_33","Aber-2016","2016",NA,"1","19","12","DM",0.232,"M. sacchariflorus"
"Mb-1155_33","Aber-2016","2016",NA,"1","19","12","FW",0.306,"M. sacchariflorus"
"Mb-1155_33","Aber-2016","2016",NA,"1","19","12","MC",24.2,"M. sacchariflorus"
"Mb-310","Aber-2016","2016",NA,"1","17","13","DM",3.016,"M. x gig"
"Mb-310","Aber-2016","2016",NA,"1","17","13","FW",5,"M. x gig"
"Mb-310","Aber-2016","2016",NA,"1","17","13","MC",39.7,"M. x gig"
"Mb-226","Aber-2015","2015",NA,"1","19","13","DM",0.284421,"M. sacchariflorus"
"Mb-226","Aber-2015","2015",NA,"1","19","13","FW",0.52,"M. sacchariflorus"
"Mb-226","Aber-2015","2015",NA,"1","19","13","MC",45.3037,"M. sacchariflorus"
"Mb-787_13","Aber-2015","2015",NA,"1","36","13","DM",0.12204,"M. sacchariflorus"
"Mb-787_13","Aber-2015","2015",NA,"1","36","13","FW",0.22,"M. sacchariflorus"
"Mb-787_13","Aber-2015","2015",NA,"1","36","13","MC",44.5274,"M. sacchariflorus"
"Mb-787_13","Aber-2016","2016",NA,"1","36","13","DM",0.377,"M. sacchariflorus"
"Mb-787_13","Aber-2016","2016",NA,"1","36","13","FW",0.536,"M. sacchariflorus"
"Mb-787_13","Aber-2016","2016",NA,"1","36","13","MC",29.6,"M. sacchariflorus"
"Mb-893_11","Aber-2015","2015",NA,"1","37","13","DM",3.30585,"M. sinensis"
"Mb-893_11","Aber-2015","2015",NA,"1","37","13","FW",7.4,"M. sinensis"
"Mb-893_11","Aber-2015","2015",NA,"1","37","13","MC",55.3263,"M. sinensis"
"Mb-893_11","Aber-2016","2016",NA,"1","37","13","DM",4.952,"M. sinensis"
"Mb-893_11","Aber-2016","2016",NA,"1","37","13","FW",9.394,"M. sinensis"
"Mb-893_11","Aber-2016","2016",NA,"1","37","13","MC",47.3,"M. sinensis"
"Mb-1156_13","Aber-2015","2015",NA,"1","38","13","DM",1.42959,"M. sinensis"
"Mb-1156_13","Aber-2015","2015",NA,"1","38","13","FW",3.56,"M. sinensis"
"Mb-1156_13","Aber-2015","2015",NA,"1","38","13","MC",59.8429,"M. sinensis"
"Mb-1156_13","Aber-2016","2016",NA,"1","38","13","DM",2.015,"M. sinensis"
"Mb-1156_13","Aber-2016","2016",NA,"1","38","13","FW",4.041,"M. sinensis"
"Mb-1156_13","Aber-2016","2016",NA,"1","38","13","MC",50.1,"M. sinensis"
"Mb-37","Aber-2015","2015",NA,"1","38","14","DM",0.905378,"M. sinensis"
"Mb-37","Aber-2015","2015",NA,"1","38","14","FW",2.14,"M. sinensis"
"Mb-37","Aber-2015","2015",NA,"1","38","14","MC",57.6926,"M. sinensis"
"Mb-37","Aber-2016","2016",NA,"1","38","14","DM",1.626,"M. sinensis"
"Mb-37","Aber-2016","2016",NA,"1","38","14","FW",3.039,"M. sinensis"
"Mb-37","Aber-2016","2016",NA,"1","38","14","MC",46.5,"M. sinensis"
"Mb-148","Aber-2015","2015",NA,"1","36","14","DM",2.12676,"M. x gig"
"Mb-148","Aber-2015","2015",NA,"1","36","14","FW",3.66,"M. x gig"
"Mb-148","Aber-2015","2015",NA,"1","36","14","MC",41.8919,"M. x gig"
"Mb-148","Aber-2016","2016",NA,"1","36","14","DM",3.287,"M. x gig"
"Mb-148","Aber-2016","2016",NA,"1","36","14","FW",4.748,"M. x gig"
"Mb-148","Aber-2016","2016",NA,"1","36","14","MC",30.8,"M. x gig"
"Mb-297","Aber-2015","2015",NA,"1","22","15","DM",0.259066,"M. sacchariflorus"
"Mb-297","Aber-2015","2015",NA,"1","22","15","FW",0.54,"M. sacchariflorus"
"Mb-297","Aber-2015","2015",NA,"1","22","15","MC",52.0248,"M. sacchariflorus"
"Mb-297","Aber-2016","2016",NA,"1","22","15","DM",0.679,"M. sacchariflorus"
"Mb-297","Aber-2016","2016",NA,"1","22","15","FW",0.858,"M. sacchariflorus"
"Mb-297","Aber-2016","2016",NA,"1","22","15","MC",20.9,"M. sacchariflorus"
"Mb-1486_1","Aber-2015","2015",NA,"1","14","16","DM",3.21819,"M. x gig"
"Mb-1486_1","Aber-2015","2015",NA,"1","14","16","FW",5.04,"M. x gig"
"Mb-1486_1","Aber-2015","2015",NA,"1","14","16","MC",36.147,"M. x gig"
"Mb-1486_1","Aber-2016","2016",NA,"1","14","16","DM",3.759,"M. x gig"
"Mb-1486_1","Aber-2016","2016",NA,"1","14","16","FW",5.6,"M. x gig"
"Mb-1486_1","Aber-2016","2016",NA,"1","14","16","MC",32.9,"M. x gig"
"Mb-1130_51","Aber-2015","2015",NA,"1","5","16","DM",3.88078,"M. x gig"
"Mb-1130_51","Aber-2015","2015",NA,"1","5","16","FW",5.34,"M. x gig"
"Mb-1130_51","Aber-2015","2015",NA,"1","5","16","MC",27.3262,"M. x gig"
"Mb-1130_51","Aber-2016","2016",NA,"1","5","16","DM",6.271,"M. x gig"
"Mb-1130_51","Aber-2016","2016",NA,"1","5","16","FW",9.217,"M. x gig"
"Mb-1130_51","Aber-2016","2016",NA,"1","5","16","MC",32,"M. x gig"
"Mb-1205_12","Aber-2015","2015",NA,"1","2","17","DM",0.235674,"M. sinensis"
"Mb-1205_12","Aber-2015","2015",NA,"1","2","17","FW",0.31,"M. sinensis"
"Mb-1205_12","Aber-2015","2015",NA,"1","2","17","MC",23.9761,"M. sinensis"
"Mb-1205_12","Aber-2016","2016",NA,"1","2","17","DM",2.947,"M. sinensis"
"Mb-1205_12","Aber-2016","2016",NA,"1","2","17","FW",5.269,"M. sinensis"
"Mb-1205_12","Aber-2016","2016",NA,"1","2","17","MC",44.1,"M. sinensis"
"Mb-115","Aber-2015","2015",NA,"1","26","17","DM",0.320982,"M. sinensis"
"Mb-115","Aber-2015","2015",NA,"1","26","17","FW",0.45,"M. sinensis"
"Mb-115","Aber-2015","2015",NA,"1","26","17","MC",28.6707,"M. sinensis"
"Mb-115","Aber-2016","2016",NA,"1","26","17","DM",0.941,"M. sinensis"
"Mb-115","Aber-2016","2016",NA,"1","26","17","FW",1.369,"M. sinensis"
"Mb-115","Aber-2016","2016",NA,"1","26","17","MC",31.3,"M. sinensis"
"Mb-1162_20","Aber-2015","2015",NA,"1","29","17","DM",0.788275,"M. sacchariflorus"
